antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Lord of Shadows,Lady Midnight,0.01880820500334774,0.03165134822569846,0.01132144378842291,0.6019417475728155,19.017886482449587,1.0,0.010726138742361627,2.4326807593354403,0.965578724085488,0.2892690513219284,0.5889308549169517,0.47981702763256157
Empire of Storms,A Court of Mist and Fury,0.04922813036020583,0.10042881646655231,0.029588336192109776,0.6010452961672473,5.984789200094026,1.0,0.024644413323173152,2.2548203464986853,0.8760353180797297,0.2464285714285714,0.5565056872256748,0.447832639543914
The Infinite Sea,The 5th Wave,0.016921297705277255,0.04583358694990566,0.010164952218637774,0.6007194244604316,13.106533100213055,1.0,0.00938938844895771,2.3897140795308665,0.9396014484559456,0.19328703703703698,0.5815398969418494,0.41124948646660353
Frostbite,Shadow Kiss,0.020390772414632663,0.02319069937305983,0.012234463448779598,0.6,25.87244094488189,1.0,0.01176158717572737,2.4420232515673503,0.9813595128619361,0.3902912621359224,0.5905034895314057,0.5637795275590551
The Assassin's Blade,Crown of Midnight,0.04305317324185249,0.09082332761578045,0.025643224699828472,0.595617529880478,6.557979601894592,1.0,0.021732992241584752,2.2483088154526016,0.885643787231262,0.23692551505546744,0.555221243128608,0.4389796808986903
The Raven King,The Dream Thieves,0.0513322550438409,0.0655486507193326,0.0305609942964161,0.5953565505804311,9.082666752816008,1.0,0.0271962342399116,2.309320342689518,0.9380525288599784,0.3540433925049309,0.5669721599406327,0.5307951584070987
City of Ashes,City of Glass,0.041938250428816465,0.04691252144082333,0.024957118353344767,0.5950920245398773,12.685142607193729,1.0,0.022989689280912298,2.353837257653724,0.9614908632163363,0.39060402684563755,0.5751617930473292,0.5635423559628088
"The Raven Boys,Blue Lily, Lily Blue",The Raven King,0.03747855917667239,0.052058319039451115,0.022298456260720412,0.5949656750572082,11.42882993602479,1.0,0.020347385469962252,2.34039838745627,0.948032885763439,0.3316326530612245,0.5727223171235907,0.5116508770673192
The Winner's Kiss,The Winner's Crime,0.021486396007060687,0.026721042059772354,0.01278227524499361,0.5949008498583569,22.26338510779714,1.0,0.012208136353576017,2.4025697353349673,0.976055107288001,0.36082474226804123,0.5837789907644119,0.5366303793710919
Harry Potter and the Order of the Phoenix,Harry Potter and the Goblet of Fire,0.04013722126929674,0.04631217838765009,0.023756432246998284,0.5918803418803419,12.78023108578664,1.0,0.02189759009559003,2.3367848194480616,0.9602978403862481,0.37893296853625175,0.5720615815040275,0.5524216524216524
"The Dream Thieves,Blue Lily, Lily Blue",The Raven King,0.04013722126929674,0.052058319039451115,0.023670668953687822,0.5897435897435898,11.328517720609979,1.0,0.02158119268349373,2.310607847341338,0.949851602076017,0.34543178973717154,0.567213449417376,0.5222194060744307
The Titan's Curse,The Lightning Thief,0.018990808935419077,0.035546898776553655,0.011199707833708685,0.5897435897435896,16.590577801194236,1.0,0.010524643470796473,2.35085443423215,0.9579164317450384,0.2584269662921348,0.5746227476110719,0.45240604144713725
Harry Potter and the Goblet of Fire,Harry Potter and the Prisoner of Azkaban,0.04631217838765009,0.04948542024013722,0.02727272727272727,0.5888888888888888,11.900250336992103,1.0,0.024980949662978206,2.3120624913077736,0.960448622234288,0.3979974968710888,0.5674857389194662,0.5700077026766801
"Six of Crows,A Court of Mist and Fury",A Court of Thorns and Roses,0.03430531732418525,0.09708404802744425,0.020154373927958835,0.5875,6.051457597173146,1.0,0.01682387485326092,2.1888871562971053,0.8644042175276824,0.1811873554356207,0.5431468465045592,0.3975485865724382
Morning Star,Red Rising,0.01783431736563394,0.036277314504839,0.010469292105423337,0.5870307167235496,16.181757793710062,1.0,0.009822310965371122,2.333642535951093,0.9552380348433662,0.23988842398884241,0.5714853562212592,0.4378106603751976
Harry Potter and the Half-Blood Prince,Harry Potter and the Order of the Phoenix,0.037993138936535165,0.04013722126929674,0.022298456260720412,0.5869074492099322,14.622523200401304,1.0,0.020773517236509567,2.3236022457797896,0.9684050994026924,0.39938556067588327,0.5696337435478743,0.5712315023827439
Fairest,Winter,0.0379073756432247,0.08576329331046312,0.02221269296740995,0.5859728506787331,6.832443438914027,1.0,0.018961631591490165,2.2081564172501387,0.887273693478008,0.21893491124260356,0.5471335308549743,0.42248642533936653
A Clash of Kings,A Game of Thrones,0.036020583190394515,0.06715265866209262,0.02109777015437393,0.5857142857142856,8.722130997993066,1.0,0.018678892226579855,2.2517004790915003,0.9184315597604374,0.25705329153605017,0.5558911989913184,0.4499452654625068
"Ignite Me (Shatter Me, #3)","Unravel Me (Shatter Me, #2)",0.03825042881646655,0.044854202401372216,0.022384219554030874,0.5852017937219731,13.046755095216454,1.0,0.020668527077957802,2.3026758147512867,0.9600759040252778,0.3686440677966102,0.5657226286071839,0.5421228853887112
Siege and Storm,Shadow and Bone,0.0532050736358219,0.0765301779177662,0.0310717630033199,0.584,7.630976640711901,1.0,0.0269999692518426,2.219879380005369,0.9177860491239134,0.3149266609145815,0.5495250737463127,0.4950033370411568
The Assassin's Blade,Heir of Fire,0.04305317324185249,0.07401372212692968,0.025128644939965694,0.5836653386454183,7.885907124687805,1.0,0.02194211933896066,2.224139289436752,0.9124765163365547,0.27332089552238803,0.5503878715018595,0.4615893321268806
"Heir of Fire,Queen of Shadows",A Court of Mist and Fury,0.03765008576329331,0.10042881646655231,0.021955403087478557,0.5831435079726651,5.806535698515179,1.0,0.01817424953440682,2.1579877025747733,0.8601655796052046,0.18906942392909898,0.5366053296750191,0.4008800375046929
"Scarlet, Cress",Winter,0.0566953264663318,0.0829147867540648,0.0330297097131182,0.5825825825825826,7.026280901024227,1.0,0.0283288288092102,2.1970458705819884,0.9092260644904392,0.3099041533546325,0.5448433674554531,0.4904699360551516
Stars Above,Cress,0.018929940958061962,0.06865907845882281,0.010956235924280236,0.5787781350482315,8.429739344598755,1.0,0.009656523622819775,2.2110460045748557,0.898378624312363,0.14297061159650518,0.5477253761654398,0.3691763015666689
"Cress,Scarlet",Winter,0.058147512864493996,0.08576329331046312,0.03361921097770154,0.5781710914454277,6.741474926253687,1.0,0.028632288776630016,2.167316388585685,0.9042440505614011,0.3048211508553655,0.538599899273329,0.48508554572271384
"Throne of Glass,Crown of Midnight",Heir of Fire,0.050171526586620926,0.07401372212692968,0.028987993138936536,0.5777777777777778,7.806360242049697,1.0,0.02527461171147051,2.1931253949625353,0.9179545059906233,0.3045045045045045,0.5440297201897647,0.4847173941032574
Dreams of Gods & Monsters,Days of Blood & Starlight,0.044854202401372216,0.0597770154373928,0.02590051457975986,0.5774378585086041,9.659864318809646,1.0,0.023219264230381093,2.2250525833766672,0.938578046925498,0.3289760348583878,0.5505724190650665,0.5053616839171428
The Raven King,The Raven Boys,0.052058319039451115,0.09348198970840481,0.02993138936535163,0.5749588138385503,6.150476852621556,1.0,0.025064874120668806,2.1327768691744122,0.8833992612307928,0.2589020771513353,0.5311276981416742,0.4475711500385412
Empire of Storms,Queen of Shadows,0.04922813036020583,0.06183533447684391,0.02830188679245283,0.5749128919860628,9.297481720606784,1.0,0.02525784888595983,2.206993926271687,0.9386520809757324,0.34196891191709844,0.5468949922806008,0.5163052670748622
"A Court of Thorns and Roses,Crown of Midnight",A Court of Mist and Fury,0.036020583190394515,0.10042881646655231,0.020668953687821612,0.5738095238095238,5.713594404456915,1.0,0.017051449149575303,2.1107256820337876,0.8558054370136294,0.17851851851851852,0.5262292923652443,0.3898082631857183
Champion,Prodigy,0.03747855917667239,0.04005145797598628,0.02144082332761578,0.5720823798627002,14.283684259526947,1.0,0.01993975238975077,2.243302207831518,0.9662019067985389,0.38226299694189597,0.5542285847582492,0.5537071428221424
The Winner's Crime,The Winner's Curse,0.026721042059772354,0.034268671252054295,0.015277862316635218,0.571753986332574,16.6844515834065,1.0,0.014362167710776563,2.255085390001852,0.9658730929938781,0.33422103861517977,0.556557811764645,0.5087899594185072
Ruin and Rising,Siege and Storm,0.03591210664069633,0.03895550550855195,0.020512508369346885,0.5711864406779661,14.6625344279661,1.0,0.019113534101281533,2.2411709555334163,0.9665083163426939,0.37737961926091823,0.5538046762871812,0.548874470338983
Harry Potter and the Prisoner of Azkaban,Harry Potter and the Philosopher's Stone,0.04948542024013722,0.08267581475128645,0.028130360205831904,0.5684575389948008,6.875741602364499,1.0,0.024039112769168758,2.125686967423726,0.8990510626030198,0.27040395713107995,0.5295638467351699,0.4543532508252012
Winter,Cress,0.0829147867540648,0.092704520303056,0.0469907210351579,0.5667351129363449,6.11334928527387,1.0,0.0393041455030921,2.094089566883468,0.9120456132279168,0.3653209794837855,0.5224655068177185,0.5368110826389714
The Golden Lily,Bloodlines,0.01783431736563394,0.019477752754275976,0.010104084241280661,0.5665529010238908,29.08718003412969,1.0,0.009756711817091554,2.2621497515196625,0.9831544820830173,0.3713646532438478,0.557942616606959,0.5426514505119453
Dreams of Gods & Monsters,Daughter of Smoke & Bone,0.044854202401372216,0.10257289879931389,0.025385934819897083,0.5659655831739961,5.517691220575916,1.0,0.02078510925625719,2.067640413779554,0.8572144470950254,0.20801124385101896,0.5163569093853971,0.40672861098499136
The Son of Neptune,The Lost Hero,0.018929940958061962,0.02014730050520421,0.010712764014851786,0.5659163987138264,28.08894415247569,1.0,0.010331376805823939,2.257290292910233,0.9830070700177103,0.3776824034334764,0.5569909625089734,0.5488192265472456
